gene_symbol	ensembl_id	chrom	gene_start	gene_end	tier	mechanism	n_dis_card	n_dis_kid	n_dis_ckd	pLI	LOEUF
MAP2K1	ENSG00000169032	15	66386912	66491544	2 - CHD + renal anomaly, multi-disease	RAS-MAPK (RASopathy)	4	2	0	0.96737	0.515
BBS4	ENSG00000140463	15	72686207	72738473	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	2	1	6.813e-12	0.953
FBXO22	ENSG00000167196	15	75903878	75942511	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.36241	0.683
ETFA	ENSG00000140374	15	76215353	76311469	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.0029774	1.166
SCAPER	ENSG00000140386	15	76347904	76905340	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	2.1156e-11	0.666
FAH	ENSG00000103876	15	80152999	80186349	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.8906e-12	1.067
RPS17	ENSG00000182774	15	82536750	82540457	3 - CHD + renal anomaly, single-disease	Ribosomopathy	2	1	0	0.99969	0.17
FANCI	ENSG00000140525	15	89243979	89317131	1 - CHD + renal anomaly + documented CKD	Other	2	2	1	8.6548e-36	0.959
KIF7	ENSG00000166813	15	89627977	89655467	3 - CHD + renal anomaly, single-disease	Other	2	1	0	3.0938e-31	1.038
MCTP2	ENSG00000140563	15	94231561	94483952	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.356e-26	1.328
TM2D3	ENSG00000184277	15	101641848	101652381	3 - CHD + renal anomaly, single-disease	Other	1	1	0	2.0744e-13	1.57
CAPN15	ENSG00000103326	16	527712	554636	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.819e-14	0.974
PIGQ	ENSG00000007541	16	569968	584109	3 - CHD + renal anomaly, single-disease	Other	1	2	0	6.7802e-18	1.295
CLCN7	ENSG00000103249	16	1444935	1475028	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.2342e-12	0.821
IFT140	ENSG00000187535	16	1510427	1612072	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	3	5	5	8.685900000000001e-35	0.972
TSC2	ENSG00000103197	16	2047985	2089491	1 - CHD + renal anomaly + documented CKD	Other	3	3	1	1.0	0.203
PKD1	ENSG00000008710	16	2088708	2135898	1 - CHD + renal anomaly + documented CKD	Polycystic kidney disease	2	2	2	1.0	0.364
TBC1D24	ENSG00000162065	16	2475127	2505730	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	8.508e-16	1.214
THOC6	ENSG00000131652	16	3024035	3027750	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	3.8005e-09	0.872
MEFV	ENSG00000103313	16	3242027	3256633	1 - CHD + renal anomaly + documented CKD	Other	5	4	3	2.305e-19	1.147
SLX4	ENSG00000188827	16	3581181	3611606	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	5.1228e-29	0.896
DNASE1	ENSG00000213918	16	3654691	3658095	3 - CHD + renal anomaly, single-disease	Other	1	2	0	5.4406e-16	1.46
CREBBP	ENSG00000005339	16	3725054	3880713	2 - CHD + renal anomaly, multi-disease	Chromatin / histone modifier	4	3	0	1.0	0.101
PMM2	ENSG00000140650	16	8797839	8849325	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	5.5214e-08	1.937
ERCC4	ENSG00000175595	16	13920154	13952348	1 - CHD + renal anomaly + documented CKD	Other	2	1	3	3.5282e-11	0.984
ABCC6	ENSG00000091262	16	16149565	16223494	2 - CHD + renal anomaly, multi-disease	Other	6	4	0	1.2351e-33	0.917
RPS15A	ENSG00000134419	16	18781295	18790334	3 - CHD + renal anomaly, single-disease	Ribosomopathy	1	1	0	0.68289	0.948
COQ7	ENSG00000167186	16	19067614	19080095	3 - CHD + renal anomaly, single-disease	Other	1	1	0	2.0603e-06	1.247
PALB2	ENSG00000083093	16	23603165	23641310	1 - CHD + renal anomaly + documented CKD	Other	2	2	1	1.2379000000000001e-19	0.9
SH2B1	ENSG00000178188	16	28863843	28874205	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	0.99999	0.374
SRCAP	ENSG00000080603	16	30699171	30741409	1 - CHD + renal anomaly + documented CKD	Chromatin / histone modifier	2	2	1	1.0	0.223
ZNF423	ENSG00000102935	16	49487524	49856112	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	1	1.0	0.196
HEATR3	ENSG00000155393	16	50065970	50107272	3 - CHD + renal anomaly, single-disease	Other	2	1	0	4.2572e-14	1.157
NOD2	ENSG00000167207	16	50693606	50733075	1 - CHD + renal anomaly + documented CKD	Other	3	1	1	2.3753999999999997e-22	1.033
SALL1	ENSG00000103449	16	51135982	51151270	1 - CHD + renal anomaly + documented CKD	Developmental TF (CAKUT/CHD syndromes)	2	2	2	1.0	0.228
RPGRIP1L	ENSG00000103494	16	53598153	53703859	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	5	4	4.2917e-23	0.907
GNAO1	ENSG00000087258	16	56191489	56357444	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.105
BBS2	ENSG00000125124	16	56484385	56520024	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	3	2	6.2071e-15	0.892
SLC12A3	ENSG00000070915	16	56865207	56915850	3 - CHD + renal anomaly, single-disease	Other	1	1	0	4.8780999999999985e-28	1.004
GINS3	ENSG00000181938	16	58392471	58406147	3 - CHD + renal anomaly, single-disease	Other	1	1	0	9.8249e-06	1.336
HSD11B2	ENSG00000176387	16	67431121	67437553	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	3.3874e-07	1.204
VAC14	ENSG00000103043	16	70687439	70801158	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.7656e-06	0.681
RFWD3	ENSG00000168411	16	74621399	74666877	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	1.0781e-15	0.931
TMEM231	ENSG00000205084	16	75536741	75556252	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	4	1	2.6458e-09	1.41
FOXC2	ENSG00000176692	16	86566829	86569728	3 - CHD + renal anomaly, single-disease	Developmental TF (CAKUT/CHD syndromes)	1	1	0	0.00066521	1.807
CTU2	ENSG00000174177	16	88706503	88715396	3 - CHD + renal anomaly, single-disease	Other	1	1	0	5.4023000000000005e-34	1.535
FANCA	ENSG00000187741	16	89737549	89816647	1 - CHD + renal anomaly + documented CKD	Other	2	2	1	1.7064999999999998e-87	1.344
MED11	ENSG00000161920	17	4731428	4733607	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.2811e-08	1.836
KIAA0753	ENSG00000198920	17	6578147	6640711	1 - CHD + renal anomaly + documented CKD	Other	2	3	1	3.4291e-23	1.071
KDM6B	ENSG00000132510	17	7834217	7854796	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.211
TMEM107	ENSG00000179029	17	8172457	8176380	3 - CHD + renal anomaly, single-disease	Other	1	2	0	5.4756e-07	1.493
RPL26	ENSG00000161970	17	8377516	8383193	2 - CHD + renal anomaly, multi-disease	Ribosomopathy	2	2	0	0.99381	0.258
MYOCD	ENSG00000141052	17	12665890	12768949	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.0	0.395
PIGL	ENSG00000108474	17	16217210	16326411	2 - CHD + renal anomaly, multi-disease	Other	2	3	0	9.8416e-05	1.239
FLCN	ENSG00000154803	17	17212212	17237168	3 - CHD + renal anomaly, single-disease	Other	1	3	0	0.9891	0.487
RAI1	ENSG00000108557	17	17681458	17811453	2 - CHD + renal anomaly, multi-disease	Other	4	4	0	1.0	0.129
B9D1	ENSG00000108641	17	19343175	19362723	2 - CHD + renal anomaly, multi-disease	Ciliopathy / nephronophthisis	2	3	0	0.00010346	1.023
NEK8	ENSG00000160602	17	28728788	28743455	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	3	5	4	1.7709e-11	0.835
NF1	ENSG00000196712	17	31094977	31377675	2 - CHD + renal anomaly, multi-disease	RAS-MAPK (RASopathy)	5	4	0	0.99946	0.449
NEUROD2	ENSG00000171532	17	39603768	39607920	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.26507	0.897
SMARCE1	ENSG00000073584	17	40624962	40647818	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.99994	0.318
MLX	ENSG00000108788	17	42567100	42573203	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.076914	0.694
RPL27	ENSG00000131469	17	42998419	43002959	3 - CHD + renal anomaly, single-disease	Ribosomopathy	2	1	0	0.99376	0.259
BRCA1	ENSG00000012048	17	43044295	43125364	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.5474e-34	0.885
MEOX1	ENSG00000005102	17	43640389	43661922	3 - CHD + renal anomaly, single-disease	Other	2	1	0	5.4063e-05	1.142
G6PC3	ENSG00000141349	17	44070735	44076344	3 - CHD + renal anomaly, single-disease	Other	1	1	0	5.3335e-08	1.008
SLC4A1	ENSG00000004939	17	44248390	44268135	3 - CHD + renal anomaly, single-disease	Other	1	2	0	0.99999	0.407
KANSL1	ENSG00000120071	17	46029916	46193429	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.325
WNT3	ENSG00000108379	17	46762506	46818692	3 - CHD + renal anomaly, single-disease	Other	1	2	0	0.99982	0.367
SPOP	ENSG00000121067	17	49598884	49678097	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99995	0.377
MKS1	ENSG00000011143	17	58205441	58219255	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	5	3	1	1.0926000000000002e-19	0.991
TBX4	ENSG00000121075	17	61452422	61485110	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.99997	0.379
BRIP1	ENSG00000136492	17	61679139	61863528	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	8.7115e-19	0.848
STRADA	ENSG00000266173	17	63702832	63741799	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	0.0078763	0.649
PSMD12	ENSG00000197170	17	67337916	67366577	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.232
PRKAR1A	ENSG00000108946	17	68512430	68533431	3 - CHD + renal anomaly, single-disease	Other	4	1	0	1.0	0.158
KCNJ2	ENSG00000123700	17	70169532	70180044	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.37571	0.651
SOX9	ENSG00000125398	17	72121020	72126416	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	1.0	0.154
COG1	ENSG00000166685	17	73193055	73208507	1 - CHD + renal anomaly + documented CKD	Other	2	1	1	6.1028e-11	0.718
FAAP100	ENSG00000185504	17	81539891	81552353	1 - CHD + renal anomaly + documented CKD	Other	2	2	1	8.6804e-14	1.076
TGIF1	ENSG00000177426	18	3450172	3459978	3 - CHD + renal anomaly, single-disease	Other	5	1	0	0.98151	0.477
PIEZO2	ENSG00000154864	18	10670247	11149569	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	2.1757e-15	0.563
KCTD1	ENSG00000134504	18	26454910	26548553	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	0.089058	0.606
SETBP1	ENSG00000152217	18	44680888	45068510	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	1.0	0.143
EPG5	ENSG00000152223	18	45847609	45967329	3 - CHD + renal anomaly, single-disease	Other	3	1	0	1.6929e-14	0.58
CCBE1	ENSG00000183287	18	59430939	59697423	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	2.2995e-08	0.933
PIGN	ENSG00000197563	18	62041164	62187056	2 - CHD + renal anomaly, multi-disease	Other	3	3	0	1.5077e-09	1.46
RTTN	ENSG00000176225	18	70003031	70205687	3 - CHD + renal anomaly, single-disease	Other	1	1	0	5.4931e-22	0.786
TXNL4A	ENSG00000141759	18	79970813	79988563	3 - CHD + renal anomaly, single-disease	Other	2	1	0	2.3119e-07	1.848
PTBP1	ENSG00000011304	19	797452	812312	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.249
PRTN3	ENSG00000196415	19	840999	848175	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	2.9672e-10	1.885
MED16	ENSG00000175221	19	867963	893187	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0789999999999999e-29	1.302
ATP5F1D	ENSG00000099624	19	1241751	1244825	3 - CHD + renal anomaly, single-disease	Mitochondrial / OXPHOS	2	1	0	2.429e-08	1.96
APC2	ENSG00000115266	19	1450121	1473244	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	3.6028e-11	0.961
ADAT3	ENSG00000213638	19	1905399	1913447	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.00056981	1.929
MAP2K2	ENSG00000126934	19	4090321	4124122	2 - CHD + renal anomaly, multi-disease	RAS-MAPK (RASopathy)	4	2	0	1.581e-05	0.858
LONP1	ENSG00000196365	19	5691834	5720146	3 - CHD + renal anomaly, single-disease	Mitochondrial / OXPHOS	3	1	0	0.99964	0.448
INSR	ENSG00000171105	19	7112265	7294414	2 - CHD + renal anomaly, multi-disease	Other	3	3	0	0.00015345	0.556
RPS28	ENSG00000233927	19	8321496	8323340	3 - CHD + renal anomaly, single-disease	Ribosomopathy	1	1	0	0.56144	0.908
ZNF699	ENSG00000196110	19	9291140	9309838	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	8.0179e-08	1.414
SMARCA4	ENSG00000127616	19	10961030	11062273	3 - CHD + renal anomaly, single-disease	Chromatin / histone modifier	2	1	0	1.0	0.226
LDLR	ENSG00000130164	19	11089463	11133820	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.2477e-30	1.091
PRKCSH	ENSG00000130175	19	11435635	11450968	3 - CHD + renal anomaly, single-disease	Polycystic kidney disease	1	2	0	2.2611e-06	0.699
WDR83OS	ENSG00000105583	19	12668073	12669415	3 - CHD + renal anomaly, single-disease	Other	1	1	0	3.7997e-06	1.598
PRKACA	ENSG00000072062	19	14091688	14117762	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.99999	0.338
BRD4	ENSG00000141867	19	15235519	15332539	1 - CHD + renal anomaly + documented CKD	Other	2	1	1	1.0	0.191
PIK3R2	ENSG00000105647	19	18153163	18170532	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.6831e-07	0.76
MAU2	ENSG00000129933	19	19320829	19358754	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.175
SCN1B	ENSG00000105711	19	35030470	35040449	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.19763	0.71
TGFB1	ENSG00000105329	19	41330323	41353922	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.026363	0.682
B9D2	ENSG00000123810	19	41354417	41364149	2 - CHD + renal anomaly, multi-disease	Ciliopathy / nephronophthisis	2	2	0	3.095e-08	1.518
RPS19	ENSG00000105372	19	41860255	41872925	2 - CHD + renal anomaly, multi-disease	Ribosomopathy	2	2	0	0.99966	0.239
BICRA	ENSG00000063169	19	47609134	47703277	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.027767	0.659
RPL18	ENSG00000063177	19	48615331	48619178	3 - CHD + renal anomaly, single-disease	Ribosomopathy	1	1	0	0.99901	0.365
RRAS	ENSG00000126458	19	49635292	49640143	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.00016583	1.175
MED25	ENSG00000104973	19	49818289	49836979	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	1.489e-14	0.874
PNKP	ENSG00000039650	19	49861204	49867576	3 - CHD + renal anomaly, single-disease	Other	1	1	0	2.5733e-34	1.527
ETFB	ENSG00000105379	19	51345169	51366388	3 - CHD + renal anomaly, single-disease	Other	1	1	0	2.0928e-05	1.1
RPS7	ENSG00000171863	2	3575260	3580920	3 - CHD + renal anomaly, single-disease	Ribosomopathy	1	1	0	0.99613	0.317
SOX11	ENSG00000176887	2	5692384	5701385	3 - CHD + renal anomaly, single-disease	Other	1	2	0	0.08649	1.148
MYCN	ENSG00000134323	2	15940550	15947004	1 - CHD + renal anomaly + documented CKD	Other	3	2	1	0.99969	0.311
WDR35	ENSG00000118965	2	19910263	19990105	1 - CHD + renal anomaly + documented CKD	Other	1	3	1	1.4175999999999998e-21	0.776
APOB	ENSG00000084674	2	21001429	21044073	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.3512e-11	0.537
DNMT3A	ENSG00000119772	2	25227874	25341925	3 - CHD + renal anomaly, single-disease	Other	2	1	0	3.0684e-146	1.998
ASXL2	ENSG00000143970	2	25733753	25878487	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.239
EMILIN1	ENSG00000138080	2	27078615	27086403	3 - CHD + renal anomaly, single-disease	Other	1	1	0	3.194e-10	0.832
IFT172	ENSG00000138002	2	27444377	27489743	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	3	3	3	1.2319e-29	0.745
SOS1	ENSG00000115904	2	38981549	39121051	2 - CHD + renal anomaly, multi-disease	RAS-MAPK (RASopathy)	2	2	0	1.0	0.288
HAAO	ENSG00000162882	2	42767089	42792583	3 - CHD + renal anomaly, single-disease	Other	1	1	0	4.4081e-17	1.544
DYNC2LI1	ENSG00000138036	2	43774039	43810010	1 - CHD + renal anomaly + documented CKD	Other	2	3	1	0.0082431	1.028
ABCG5	ENSG00000138075	2	43812472	43838839	3 - CHD + renal anomaly, single-disease	Other	1	1	0	8.1322e-20	1.219
ABCG8	ENSG00000143921	2	43838971	43882988	3 - CHD + renal anomaly, single-disease	Other	1	1	0	5.1931e-31	1.329
SIX3	ENSG00000138083	2	44941702	44946071	3 - CHD + renal anomaly, single-disease	Other	6	1	0	0.99311	0.387
FANCL	ENSG00000115392	2	58159247	58241325	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	1.6815e-17	1.444
PEX13	ENSG00000162928	2	61017720	61051990	2 - CHD + renal anomaly, multi-disease	Peroxisomal	2	2	0	2.8784e-07	1.159
WDPCP	ENSG00000143951	2	63119559	63588477	1 - CHD + renal anomaly + documented CKD	Other	3	1	1	2.1762e-16	0.939
SPRED2	ENSG00000198369	2	65310851	65432599	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.6444e-15	1.361
ALMS1	ENSG00000116127	2	73385836	73609916	1 - CHD + renal anomaly + documented CKD	Other	2	2	2	2.1295e-65	0.825
GGCX	ENSG00000115486	2	85544720	85561493	3 - CHD + renal anomaly, single-disease	Other	2	1	0	2.2339e-15	0.888
POLR1A	ENSG00000068654	2	86020216	86105886	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.90613	0.479
RPL31	ENSG00000071082	2	101002289	101007267	3 - CHD + renal anomaly, single-disease	Ribosomopathy	1	1	0	0.99795	0.217
NPHP1	ENSG00000144061	2	110123348	110205013	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	5	6	4.482e-10	0.92
BUB1	ENSG00000169679	2	110637528	110678063	3 - CHD + renal anomaly, single-disease	Other	2	1	0	7.3293e-13	0.727
GLI2	ENSG00000074047	2	120735868	120992653	3 - CHD + renal anomaly, single-disease	Other	5	1	0	1.0	0.364
UGGT1	ENSG00000136731	2	128091200	128195677	3 - CHD + renal anomaly, single-disease	Other	1	1	0	7.4921e-11	0.617
KYNU	ENSG00000115919	2	142877664	143055833	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	1.0563e-08	1.364
ZEB2	ENSG00000169554	2	144384081	144520119	2 - CHD + renal anomaly, multi-disease	Other	3	2	0	1.0	0.114
SCN2A	ENSG00000136531	2	165239414	165392304	3 - CHD + renal anomaly, single-disease	Other	2	1	0	1.0	0.161
BBS5	ENSG00000163093	2	169479494	169506655	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	1	1	1	0.00025273	0.884
HOXD13	ENSG00000128714	2	176092721	176095944	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.00046099	0.957
MTX2	ENSG00000128654	2	176269442	176338025	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.00031555	1.103
STAT1	ENSG00000115415	2	190969149	191014171	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.271
STAT4	ENSG00000138378	2	191029576	191150994	1 - CHD + renal anomaly + documented CKD	Other	2	2	2	0.93457	0.503
TMEM237	ENSG00000155755	2	201620186	201643503	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	3	2	2	1.0116e-14	1.318
CTLA4	ENSG00000163599	2	203867771	203873965	1 - CHD + renal anomaly + documented CKD	Other	1	2	1	0.99829	0.211
IDH1	ENSG00000138413	2	208236229	208255071	3 - CHD + renal anomaly, single-disease	Other	1	1	0	9.2299e-05	0.829
BCS1L	ENSG00000074582	2	218659683	218663443	3 - CHD + renal anomaly, single-disease	Mitochondrial / OXPHOS	1	1	0	2.6741e-10	0.958
PDE6D	ENSG00000156973	2	231732433	231781282	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	0.22718	1.027
HDAC4	ENSG00000068024	2	239048168	239401020	3 - CHD + renal anomaly, single-disease	Other	1	2	0	1.0	0.192
MKKS	ENSG00000125863	20	10401009	10434222	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	4	1	9.952e-11	1.112
JAG1	ENSG00000101384	20	10637684	10673999	1 - CHD + renal anomaly + documented CKD	NOTCH signalling	4	1	1	1.0	0.211
TASP1	ENSG00000089123	20	13389394	13638932	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.96491	0.518
MGME1	ENSG00000125871	20	17969018	17991122	3 - CHD + renal anomaly, single-disease	Other	2	1	0	9.2408e-07	0.932
SLC32A1	ENSG00000101438	20	38724486	38729372	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99954	0.396
PIGT	ENSG00000124155	20	45416141	45426241	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	1.0109e-16	1.084
ADNP	ENSG00000101126	20	50888918	50931437	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.106
SALL4	ENSG00000101115	20	51782331	51802521	2 - CHD + renal anomaly, multi-disease	Developmental TF (CAKUT/CHD syndromes)	3	3	0	1.0	0.184
ATP5F1E	ENSG00000124172	20	59025475	59032335	3 - CHD + renal anomaly, single-disease	Mitochondrial / OXPHOS	2	1	0	0.017126	1.654
LAMA5	ENSG00000130702	20	62309065	62367312	1 - CHD + renal anomaly + documented CKD	ECM / basement membrane	1	2	2	6.0670000000000006e-58	0.779
SCAF4	ENSG00000156304	21	31671000	31732118	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.285
SON	ENSG00000159140	21	33543038	33577481	2 - CHD + renal anomaly, multi-disease	Other	2	2	0	1.0	0.051
PIGP	ENSG00000185808	21	37065374	37073071	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.2246e-06	1.937
DYRK1A	ENSG00000157540	21	37366773	37526358	2 - CHD + renal anomaly, multi-disease	Other	2	3	0	1.0	0.172
RIPK4	ENSG00000183421	21	41739373	41767052	3 - CHD + renal anomaly, single-disease	Other	1	2	0	0.62495	0.577
COL18A1	ENSG00000182871	21	45405165	45513720	3 - CHD + renal anomaly, single-disease	ECM / basement membrane	1	1	0	8.591500000000001e-33	1.001
ADA2	ENSG00000093072	22	17178790	17219435	2 - CHD + renal anomaly, multi-disease	Other	4	2	0	5.39e-06	0.879
ATP6V1E1	ENSG00000131100	22	17592136	17628749	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.0013179	0.852
USP18	ENSG00000184979	22	18150170	18177397	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99638	0.459
HIRA	ENSG00000100084	22	19330698	19431733	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.176
UFD1	ENSG00000070010	22	19449911	19479193	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.99902	0.438
GP1BB	ENSG00000203618	22	19723539	19724771	3 - CHD + renal anomaly, single-disease	Other	1	2	0	0.010404	1.922
TBX1	ENSG00000184058	22	19760778	19767334	1 - CHD + renal anomaly + documented CKD	Developmental TF (CAKUT/CHD syndromes)	7	3	1	0.123	0.703
COMT	ENSG00000093010	22	19941772	19969975	3 - CHD + renal anomaly, single-disease	Other	1	1	0	0.00049821	1.128
ARVCF	ENSG00000099889	22	19969896	20016823	3 - CHD + renal anomaly, single-disease	Other	1	1	0	2.8287e-19	1.032
PI4KA	ENSG00000241973	22	20707691	20858811	3 - CHD + renal anomaly, single-disease	Other	1	2	0	1.9549e-06	0.548
LZTR1	ENSG00000099949	22	20982297	20999032	3 - CHD + renal anomaly, single-disease	RAS-MAPK (RASopathy)	3	1	0	4.991499999999999e-132	1.997
MAPK1	ENSG00000100030	22	21759657	21867645	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.99854	0.377
SMARCB1	ENSG00000099956	22	23786966	23838009	3 - CHD + renal anomaly, single-disease	Chromatin / histone modifier	2	1	0	1.0	0.221
MIF	ENSG00000240972	22	23894383	23895223	3 - CHD + renal anomaly, single-disease	Other	1	2	0	2.2681e-08	1.961
SPECC1L	ENSG00000100014	22	24270831	24417738	3 - CHD + renal anomaly, single-disease	Other	2	1	0	0.99995	0.434
DEPDC5	ENSG00000100150	22	31754019	31908033	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.403
IFT27	ENSG00000100360	22	36758211	36776119	1 - CHD + renal anomaly + documented CKD	Other	2	2	2	0.00040038	1.078
SGSM3	ENSG00000100359	22	40370594	40410289	3 - CHD + renal anomaly, single-disease	Other	1	1	0	4.5618e-32	1.175
EP300	ENSG00000100393	22	41092592	41180077	2 - CHD + renal anomaly, multi-disease	Chromatin / histone modifier	2	2	0	1.0	0.164
TRNT1	ENSG00000072756	3	3126940	3149023	3 - CHD + renal anomaly, single-disease	Other	1	1	0	3.6366e-13	1.232
ITPR1	ENSG00000150995	3	4493348	4847506	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.325
CRELD1	ENSG00000163703	3	9933834	9945406	3 - CHD + renal anomaly, single-disease	Other	1	1	0	7.6352e-10	0.885
FANCD2	ENSG00000144554	3	10026437	10101932	1 - CHD + renal anomaly + documented CKD	Other	2	2	1	2.7719000000000002e-19	0.777
VHL	ENSG00000134086	3	10141778	10153667	3 - CHD + renal anomaly, single-disease	Other	1	5	0	0.0019543	0.987
RAF1	ENSG00000132155	3	12583601	12664117	2 - CHD + renal anomaly, multi-disease	RAS-MAPK (RASopathy)	6	2	0	1.0	0.353
RBSN	ENSG00000131381	3	15070073	15099148	3 - CHD + renal anomaly, single-disease	Other	1	1	0	4.3732e-06	0.74
RPL15	ENSG00000174748	3	23917132	23920989	3 - CHD + renal anomaly, single-disease	Ribosomopathy	2	1	0	0.99997	0.132
LZTFL1	ENSG00000163818	3	45823316	45842119	1 - CHD + renal anomaly + documented CKD	Ciliopathy / nephronophthisis	2	2	2	0.0015497	0.874
CCR1	ENSG00000163823	3	46201711	46208313	1 - CHD + renal anomaly + documented CKD	Other	1	1	1	0.12123	1.931
CRIPTO	ENSG00000241186	3	46577788	46582457	3 - CHD + renal anomaly, single-disease	Other	5	1	0		
TREX1	ENSG00000213689	3	48466230	48467645	2 - CHD + renal anomaly, multi-disease	Other	4	3	0	0.00076781	1.265
COL7A1	ENSG00000114270	3	48564073	48595329	1 - CHD + renal anomaly + documented CKD	ECM / basement membrane	2	1	1	1.4204e-56	0.69
LAMB2	ENSG00000172037	3	49121114	49133050	1 - CHD + renal anomaly + documented CKD	ECM / basement membrane	1	3	3	2.2857e-18	0.652
BAP1	ENSG00000163930	3	52401008	52410008	3 - CHD + renal anomaly, single-disease	Other	1	1	0	1.0	0.324
TKT	ENSG00000163931	3	53224712	53256022	3 - CHD + renal anomaly, single-disease	Other	2	1	0	5.2193e-12	0.923
